1000000000000000000 100
474684865063285417 474684865063286453 0
458990073142502084 458990073142503069 0
109698318283322232 109698318283323203 0
644545271192238254 644545271192239285 0
1003273470264770597 1003273470264771577 0
346838987304650482 346838987304651491 0
25920100329987610 25920100329988618 0
212956591959208600 212956591959209662 0
88750066966583029 88750066966583985 0
291965905554828746 291965905554829744 0
885238296206065931 885238296206066911 0
1059496812201130066 1059496812201131051 0
268551598430441631 268551598430442638 0
1061421160166998557 1061421160166999544 1
1089081546684003583 1089081546684004531 0
455308214758249536 455308214758250578 0
242922251850401318 242922251850402264 0
1105277987652969461 1105277987652970485 0
621502509800687221 621502509800688281 0
1147823612297065506 1147823612297066494 0
336767478595288229 336767478595289183 0
798699295051311334 798699295051312370 0
32379471141399082 32379471141400090 0
5834066649182618 5834066649183589 0
606470025217974690 606470025217975662 0
561897267423997128 561897267423998120 0
150245081323995559 150245081323996507 0
353605006702045871 353605006702046888 0
890756941900666811 890756941900667760 0
952361831961178608 952361831961179603 0
569335528486629286 569335528486630324 0
770702393974827609 770702393974828606 0
908757592125756157 908757592125757135 0
546921111017394690 546921111017395672 0
620981871053503684 620981871053504680 0
729203405253697751 729203405253698723 0
282811104161367432 282811104161368475 1
806888265271836194 806888265271837179 0
964008768592317372 964008768592318371 0
290492093758909543 290492093758910576 0
426230234969496587 426230234969497610 0
431217429221101476 431217429221102430 0
947423112761810484 947423112761811519 0
456317225100538274 456317225100539221 1
1057892691055479323 1057892691055480334 0
1019016353551296657 1019016353551297642 0
346423289646737657 346423289646738658 0
77244039337100287 77244039337101316 0
579698230668257003 579698230668258002 0
151227110495577080 151227110495578096 0
138622781908187304 138622781908188350 0
182589583558794849 182589583558795817 0
951054747635734938 951054747635735944 0
576308236300326559 576308236300327592 0
635297407762687517 635297407762688508 0
339945481075665797 339945481075666796 0
157539424934254064 157539424934255054 0
602932221308837748 602932221308838757 0
371533041664989957 371533041664990969 0
1024868768677027493 1024868768677028481 0
379855910075164810 379855910075165799 0
95095994471925753 95095994471926765 0
1077684223293859387 1077684223293860402 0
301796308874664891 301796308874665950 0
350556432177255351 350556432177256341 1
377212485952599261 377212485952600261 0
897044628590731379 897044628590732397 0
760332852916072511 760332852916073493 0
959412791682382751 959412791682383702 0
108735553011246704 108735553011247676 0
861877405824131220 861877405824132193 1
254175940808924039 254175940808925056 0
1043658217350456087 1043658217350457065 1
545949023869372723 545949023869373759 0
541710035435602004 541710035435602990 0
491298146186274629 491298146186275618 0
696610544716314583 696610544716315605 0
290920449667913270 290920449667914270 0
1048584656053383350 1048584656053384355 0
339308034302398483 339308034302399532 0
938416029186518824 938416029186519793 0
385196790027305907 385196790027306907 0
50151898300309093 50151898300310109 1
634807749527649790 634807749527650709 0
743364903617131110 743364903617132122 0
947121007043823004 947121007043824002 1
524135547114792544 524135547114793525 0
276992279929851105 276992279929852134 0
245485913596648269 245485913596649287 0
356470789961932267 356470789961933279 0
124844843071543933 124844843071544904 0
828662839726712068 828662839726713025 0
542419029310488767 542419029310489755 2
36763776226377040 36763776226378049 0
279156267766863278 279156267766864269 0
792007947883570072 792007947883571114 0
74203833968333584 74203833968334610 0
997074941419090837 997074941419091828 0
243331294439301316 243331294439302328 0
1051737116501922603 1051737116501923609 0
