1000000000000000000 10000
652534260234630160 652534260234630169 0
816017999347989413 816017999347989423 0
423907013040537973 423907013040537983 0
702015296844485217 702015296844485224 0
1129742878738727647 1129742878738727659 0
559860403056929120 559860403056929137 0
518025908946687052 518025908946687061 0
346594822878359441 346594822878359447 0
944520243515937458 944520243515937465 0
894872191218719329 894872191218719341 0
433687521695569990 433687521695569994 0
453955537251455737 453955537251455749 0
384347306609384261 384347306609384272 0
904141474949361478 904141474949361488 0
663142714242175660 663142714242175668 0
622221188737121168 622221188737121174 0
886116435416581497 886116435416581510 0
818789633777014870 818789633777014881 0
759121999810570254 759121999810570261 0
611181983429013562 611181983429013566 0
346645364424158150 346645364424158162 0
477277596532705862 477277596532705871 0
669006328555234548 669006328555234563 0
873947214469135473 873947214469135485 0
530396213299309283 530396213299309294 0
1151196879206531693 1151196879206531699 0
562658128978056778 562658128978056784 0
860063747083156644 860063747083156652 0
297303308191040011 297303308191040019 0
351400106718403449 351400106718403460 0
569450288663163360 569450288663163368 0
903403054795848400 903403054795848406 0
660404891157054385 660404891157054395 0
258127387854483914 258127387854483921 0
660087615957585626 660087615957585635 0
294558160967785197 294558160967785205 0
1106746641893119467 1106746641893119482 0
1032311188896176162 1032311188896176168 0
17102632739434071 17102632739434080 0
35198634475050875 35198634475050880 0
1031533237744730852 1031533237744730855 0
318248839379393503 318248839379393510 0
399032663907292107 399032663907292118 0
370123532278238729 370123532278238736 0
652932216857434502 652932216857434511 0
260856419523287491 260856419523287504 0
394210732746976664 394210732746976677 0
819841317238184848 819841317238184856 0
791944313854221764 791944313854221772 0
203208692299883081 203208692299883088 0
867804698420432239 867804698420432249 0
681708840492468530 681708840492468543 0
442387384190732612 442387384190732629 0
689002488508165681 689002488508165689 0
661773801236803846 661773801236803856 0
30310170397362286 30310170397362292 0
108276204263463880 108276204263463889 0
1060945418185450239 1060945418185450251 0
203260488043534934 203260488043534946 0
139870548287635430 139870548287635437 0
556229999841262523 556229999841262531 0
228878267596531572 228878267596531580 0
385724357689522257 385724357689522271 0
278924072915036074 278924072915036087 0
870921527378863795 870921527378863808 0
858988234198763545 858988234198763556 0
201004489459654475 201004489459654488 0
1131087083805046237 1131087083805046248 0
395135933137662429 395135933137662435 0
130798794545572812 130798794545572824 0
320469796934472054 320469796934472060 0
641243120652917529 641243120652917541 0
894420264642173582 894420264642173589 0
261628214197622802 261628214197622811 0
773190496536237925 773190496536237935 0
413283622881971984 413283622881971995 0
791712035825477306 791712035825477313 0
129765854801118663 129765854801118671 0
153477433383282841 153477433383282848 0
766562061872573656 766562061872573668 0
239853946511267213 239853946511267219 0
709669609796093315 709669609796093319 0
304350036925850612 304350036925850625 0
73204305763524529 73204305763524541 0
752889434582540221 752889434582540230 0
728485123477189682 728485123477189692 0
1085036593128855609 1085036593128855623 0
1073086811300601666 1073086811300601675 0
239719546512312378 239719546512312390 0
935743267964059489 935743267964059497 0
356009086312602767 356009086312602775 0
391135944415427649 391135944415427654 0
541696342475783303 541696342475783309 0
403137689634421261 403137689634421276 0
164744622068398337 164744622068398345 0
72629114314964207 72629114314964217 0
17113204477052245 17113204477052250 0
454006981902336212 454006981902336227 0
488718391378484991 488718391378485000 0
1022091368111966590 1022091368111966597 0
902260667653211898 902260667653211912 0
882416861508431526 882416861508431540 0
199751508874408410 199751508874408416 0
245948138553190579 245948138553190587 0
1055661145014014427 1055661145014014431 0
116313659553751356 116313659553751371 0
99003133338836816 99003133338836828 0
9072507412286544 9072507412286551 0
914029494126969644 914029494126969658 0
215617510224448902 215617510224448914 0
250801276740601857 250801276740601866 0
455143824185716136 455143824185716145 0
400676364975699225 400676364975699233 0
203221667926500422 203221667926500431 0
1110307701681993698 1110307701681993705 0
896620331915721217 896620331915721230 0
419956981448032135 419956981448032143 0
615346972503426684 615346972503426697 0
907398502299905753 907398502299905761 0
149288900599156524 149288900599156535 0
341801048695588987 341801048695588992 0
1129907640712890853 1129907640712890859 0
745325205840460092 745325205840460101 0
166449226493708286 166449226493708291 0
291275538737570983 291275538737570993 0
414351204812017031 414351204812017043 0
887353108022892579 887353108022892589 0
267233443406256340 267233443406256348 0
169633692655765465 169633692655765473 0
317827253684870707 317827253684870719 0
500589638452754986 500589638452754991 0
1003939484744334338 1003939484744334350 0
708994341938447733 708994341938447741 0
580789665300114166 580789665300114177 0
705287714931704776 705287714931704779 0
729495745964420731 729495745964420744 0
162443845295644957 162443845295644967 0
688477691584383393 688477691584383401 0
951054707414624209 951054707414624222 0
253012370804177933 253012370804177937 0
1101033644900593423 1101033644900593427 0
896060227059403596 896060227059403602 0
331654215482183670 331654215482183676 0
175760503045004345 175760503045004358 0
689296148016792734 689296148016792748 0
118755703508738259 118755703508738266 0
435086728868255082 435086728868255094 0
332769112359001688 332769112359001701 0
762217424934566097 762217424934566103 0
98606506633482075 98606506633482084 0
822236444231649573 822236444231649584 0
145740980527294051 145740980527294061 0
68491897679951051 68491897679951059 0
372695150692807863 372695150692807869 0
682319328563514515 682319328563514526 0
1043868651469584722 1043868651469584728 0
337268245939410018 337268245939410028 0
462081963271494690 462081963271494697 0
298449963199281667 298449963199281682 0
913182234636245401 913182234636245411 0
584844377509566072 584844377509566080 0
237391875868729980 237391875868729989 0
541308988014828834 541308988014828844 0
1132516990801179579 1132516990801179585 0
888183919917538719 888183919917538725 0
1135344086764923630 1135344086764923639 0
23023459207543683 23023459207543698 0
394134033470626484 394134033470626496 0
940423202052849806 940423202052849816 0
1001606241610916734 1001606241610916743 0
469104939445267741 469104939445267753 0
280609593947722890 280609593947722905 0
726139886489987751 726139886489987759 0
312318618413291857 312318618413291865 0
575079222207530187 575079222207530200 0
633093094115981002 633093094115981014 0
683184869492919398 683184869492919411 0
534066150638493032 534066150638493038 0
92593935515912406 92593935515912417 0
261019076676735742 261019076676735748 0
564354858460093411 564354858460093424 0
935500593553078534 935500593553078541 0
410432664433818461 410432664433818470 0
1006341165539799862 1006341165539799873 0
652732335094441323 652732335094441332 0
641196615738143278 641196615738143291 0
