1000 10000
737 844 0
255 400 0
546 938 0
300 366 0
131 177 0
500 640 0
112 494 0
28 488 0
273 373 0
891 1006 0
314 782 0
117 936 0
539 606 0
184 461 0
183 984 0
422 650 0
908 981 0
713 853 0
203 495 0
22 378 0
218 702 0
556 853 0
863 887 0
936 938 0
89 445 0
410 523 0
59 509 0
265 780 0
121 899 0
98 725 0
425 457 0
558 1012 0
354 941 0
661 741 0
270 911 0
300 519 0
456 798 0
370 688 0
390 820 0
22 63 0
764 823 0
24 502 0
160 632 0
314 1012 0
591 735 0
778 853 0
140 169 0
388 444 0
467 499 0
789 858 0
58 805 0
18 24 0
265 786 0
29 430 0
96 533 0
381 560 0
308 961 0
281 915 0
327 837 0
221 913 0
507 684 0
227 941 0
240 492 0
302 781 0
568 620 1
2 714 0
1 472 0
129 660 0
368 712 0
20 225 0
60 536 0
381 867 0
7 839 0
125 692 0
100 144 0
11 520 0
27 966 0
206 809 0
542 958 0
299 460 0
309 648 0
562 835 0
796 976 0
121 128 0
297 838 0
285 857 0
611 862 0
71 615 0
236 499 0
17 54 0
175 851 0
547 1009 0
521 904 0
148 829 0
39 766 0
251 967 0
185 303 0
6 21 0
189 448 0
22 404 0
985 1008 0
335 413 0
386 640 0
522 894 0
56 981 0
140 623 0
293 706 0
211 926 0
38 276 0
158 906 0
124 426 0
234 997 0
22 656 0
332 877 0
249 296 0
191 942 0
531 840 0
808 846 0
119 191 0
677 916 0
105 936 0
361 795 0
687 883 0
122 301 0
115 785 0
430 835 0
179 714 0
871 903 0
110 429 0
108 631 0
724 963 0
476 623 0
244 846 0
176 810 0
518 868 0
263 762 0
807 891 0
637 700 0
553 641 0
883 999 0
189 286 0
211 213 0
507 596 0
96 336 0
314 539 0
69 277 0
240 860 0
362 780 0
892 984 0
560 1000 0
176 729 0
329 551 0
431 684 0
99 573 0
263 439 0
227 951 0
334 338 0
235 1015 0
541 753 0
631 659 0
686 792 1
264 633 0
337 833 0
496 815 0
597 791 0
790 790 0
543 560 0
366 803 0
167 888 0
441 679 0
145 355 0
179 474 0
478 827 0
43 862 0
295 851 0
296 961 0
132 786 0
280 446 0
191 439 0
101 777 0
575 768 0
511 1017 0
514 830 0
503 947 0
216 256 0
55 468 0
52 748 0
346 845 0
682 686 0
389 783 0
155 502 0
293 583 0
218 669 0
201 897 0
239 749 0
26 552 0
468 866 0
121 975 0
950 973 0
656 718 0
302 613 0
467 695 0
392 468 0
480 898 0
404 682 0
243 879 0
290 615 0
418 452 0
254 434 0
203 308 0
71 511 0
852 878 0
941 1011 0
277 730 0
367 439 0
418 971 0
342 740 0
895 1011 0
340 918 0
282 373 0
401 480 0
271 780 0
6 722 0
871 956 0
873 935 0
