1000 10000
294 457 0
61 682 0
189 513 0
481 885 0
353 636 0
335 983 0
385 774 0
401 659 0
274 339 0
748 962 0
399 513 0
342 369 0
62 256 0
1 681 0
281 466 0
181 358 0
192 739 0
290 920 0
82 960 0
255 777 0
454 1007 0
511 819 0
98 444 0
316 521 0
73 959 0
72 884 0
697 857 0
518 821 0
800 979 0
233 770 0
824 941 0
458 972 0
426 748 0
164 539 0
539 795 0
814 816 0
349 846 0
516 926 0
45 296 0
427 984 0
175 390 0
4 77 0
43 971 0
233 917 0
71 300 0
145 702 0
11 994 0
374 853 0
27 636 0
460 599 0
136 142 0
447 917 0
1 911 0
569 624 0
43 795 0
885 945 0
646 667 0
341 448 0
623 695 0
636 855 0
570 1013 0
65 856 0
115 340 0
1 474 0
314 869 0
442 1010 0
583 635 0
231 305 0
94 779 0
545 907 0
366 662 0
660 669 0
252 1004 0
346 877 0
844 910 0
261 970 0
699 751 0
387 666 0
119 211 0
487 672 0
45 281 0
37 171 0
44 858 0
43 1001 0
213 508 0
232 314 0
337 848 0
19 196 0
747 1009 0
873 970 0
250 668 0
327 1002 0
307 341 0
24 403 0
808 849 0
611 807 0
108 867 0
739 906 0
213 679 0
193 488 0
388 1015 0
48 581 0
169 320 0
956 989 0
308 357 0
38 1021 0
308 677 0
448 702 0
43 216 0
361 529 0
225 606 0
156 633 0
107 330 0
549 933 0
623 808 0
310 470 0
337 443 0
67 649 0
62 526 0
283 500 0
989 995 0
292 700 0
71 557 0
404 623 0
253 343 0
66 921 0
168 197 0
299 736 0
217 805 0
379 443 0
225 369 0
774 794 0
840 945 0
450 554 0
391 801 0
334 840 0
886 927 0
519 643 0
287 870 0
717 1019 0
153 841 0
90 219 0
102 226 0
278 825 0
361 785 0
34 738 0
213 237 0
281 343 0
24 910 0
164 867 0
645 936 0
114 252 0
149 843 0
152 989 0
151 419 0
59 755 0
328 380 0
134 574 0
363 601 0
6 88 0
208 637 0
526 598 0
348 724 0
445 1022 0
489 960 0
65 881 0
641 655 0
666 944 0
366 998 0
410 942 0
9 734 0
331 920 0
192 597 0
155 243 0
257 978 0
324 1017 0
390 636 0
443 632 0
544 1010 0
48 729 0
72 768 0
722 940 0
350 376 0
128 747 0
418 539 0
139 567 0
664 726 0
760 968 0
863 958 0
374 931 0
192 317 0
6 71 0
290 495 0
385 567 0
257 974 0
500 679 0
322 633 0
54 989 0
175 440 0
293 801 0
565 1011 0
112 295 0
216 980 0
378 804 0
842 894 0
483 610 0
27 60 0
15 758 0
318 524 0
309 657 0
275 441 0
335 1019 0
33 635 0
534 719 0
223 485 0
78 810 0
375 485 0
607 998 0
153 795 0
634 682 0
816 1011 0
15 571 0
233 587 0
358 424 0
9 733 0
273 568 0
377 628 0
230 512 0
829 988 0
287 492 0
334 982 0
793 879 0
20 861 0
139 842 0
633 964 0
255 689 0
81 295 0
256 626 0
745 865 0
734 760 0
49 250 0
629 959 0
624 862 0
242 737 0
164 712 0
890 954 0
842 1015 0
657 831 0
552 760 0
218 542 0
364 904 0
132 394 0
788 939 0
16 476 0
525 526 0
261 919 0
220 702 0
322 811 0
368 697 0
496 733 0
288 800 0
676 690 0
2 497 0
480 625 0
823 969 0
182 970 0
568 908 0
8 615 0
335 417 0
206 480 0
465 629 0
420 627 0
229 599 0
215 960 0
633 721 0
239 524 0
158 786 0
675 771 0
