576460752303423488 10000
6994318390926092 287135350247345684 0
208963569523812793 507040715386162498 0
102599732015037180 307651985133548389 0
155029104850415945 298546003669966701 0
218361746402503013 242258796009802653 0
996607435730345160 1065326222034616206 0
585116938108199819 839908991409472872 0
762586662592313803 1049353898383369822 0
242809542481167686 886881546596997354 0
787952037287126191 797534522813284479 0
603333882891091920 1147947812929023522 0
452247294962336766 781938995166715900 0
123219398900173617 672458053913438268 0
308467353314826996 1060944193801139943 0
741794832116073850 893114360218657733 0
442647347664303119 1072535392228121010 0
2346503134711054 582094479383173343 0
440513011796542142 759022815654816379 0
156265741323528207 607251706592563517 0
71008695412442742 121888333259449115 0
968113230004532896 1006451215537025733 0
182564592482055611 422630462041569011 0
130634489889890674 897086961759448512 0
1082087903665879036 1104267576335353369 0
119015749202193571 374440287648327529 0
240149902086206596 1120006112339925890 0
32159463391756723 649520419138555045 0
456182336209969871 768604352850921867 0
921960938641076798 1055652457762622572 0
467277890368118456 825440163255952104 0
265746647926599073 461781469703782166 0
89962206222754720 378252220263296106 0
38983991312266515 325281594138390359 0
623562422346181388 758996804241001299 0
16288347704052898 521045680358475313 0
1007094913346654721 1056251306417130785 0
306526920502030112 943193351095489531 0
180913642303385918 671198140881394767 0
328531946643048924 902846344955703741 0
411376510981901892 1036005354629938198 0
558779405151822958 799817186168329839 0
229153629479318970 847957983631555407 0
319026017852707618 424889530590314859 0
693105767318130716 766673175558425759 0
591056277035836734 650685553491757374 0
6058946590826409 1088497754037310851 0
387879670053654873 1013181751637740626 0
314034428059686348 1056059918997816846 0
683750631024100344 1015514404890337074 0
348042570096598624 572990592604756603 0
469739306089324371 790085691830249993 0
222881078448192962 1023331020503165481 0
553958597817042770 740609023540844885 0
486420283363104417 737831326688964295 0
623160069787423649 938986718465935627 0
1055007982274195213 1080341258361384031 0
77361386210686697 718674672203012670 0
587847519866600804 1137846678732435779 0
80053538685722276 319986958292889707 0
194674910079885160 782301369020189722 0
97846326771849702 685549995938236287 0
4460074429009777 707813100259320725 0
363983652453622277 1122950155419289725 0
506386826282422600 565909653905946240 0
71079035988367818 490158999605348068 0
612572964859487802 881092912143119620 0
546025786173143970 667751967789264851 0
565718100002301223 723135588607989049 0
229497314686441865 528111722636298000 0
680079533130206049 985952756386467685 0
434977698444662197 896786032812641081 0
338249778117597379 627564563713650442 0
733968433102794328 875319018245908252 0
153282731333050568 841456668632551083 0
113462435602249364 1103383425806095809 0
483298079918028846 509017628036437778 0
189979589157105330 274573659503789893 0
732163243543179383 738791960622502174 0
17023255253659840 899983366778851584 0
320691864671786177 810246037670090119 0
408534140614594715 849119455777573562 0
877409250359786698 1042603915674683192 0
134855370096939977 1084410157005419469 0
586651111650243518 1142156780723591495 0
323844733260502001 1115529545653833063 0
439561701991809989 629100898538311784 0
950436313720470698 1010973437138008617 0
757777916398103151 1060164514842966944 0
34281033970488563 212511121871139134 0
1084750114034109371 1140983574042873373 0
1024305077173066628 1094963965274210155 0
292567457838271795 301849245033312578 0
771990562440767438 1095080910682530503 0
73443953415677544 1128086535355007229 0
723937326499354223 1017654916327897985 0
347260345612089040 848234245080326922 0
1004690973548030748 1033455676708054701 0
495894186175016050 853132728700611905 0
494466450335781429 698430768562297353 0
166252815439067551 539624406098287810 0
370197012954764455 446247829412130006 0
666689884155026440 944922477171006468 0
536665034781870488 698451147168236362 0
12355576053449912 1040416931663038427 0
126803881420813569 1104649223215787241 0
342064529469010852 1118397345965023427 0
114953471986474917 446376091980081577 0
557197255013636837 1105314789544629426 0
885611216881906763 1084027231577033104 0
428561544714256212 459518265757576108 0
377470897749345229 852468570242598329 0
524848560461023768 1096040605712048876 0
51293446371226436 249385788795490092 0
570132889258311504 724549247212536683 0
397780742675490643 920972614450348194 0
309493338614515479 723488797600613842 0
242125787460405365 464253901533239039 0
632496570100596835 942370851595127960 0
419530109109231182 968699923677360975 0
563874935980057645 1090645204077522375 0
755893641268285028 858315218905127103 0
193078143365939105 812771016329577971 0
791971965420802235 975543562104853823 0
138513006408762609 963729019931579456 0
899808596087642145 912887322131174927 0
348586552076839215 590269949933955495 0
370047932364262117 741572009126693921 0
